Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5828,0.04,0.24,0.05,0.05,0.06,2
5829,0.03,0.34,0.05,0.03,0.06,2
5830,0.01,0.75,0.01,0.05,0.01,2
5831,0.04,0.25,0.04,0.04,0.05,2
5832,0.02,0.6,0.02,0.02,0.05,2
5833,0.02,0.57,0.02,0.04,0.03,2
5834,0.03,0.25,0.03,0.03,0.25,2
5835,0.01,0.53,0.01,0.01,0.23,2
5836,0.04,0.16,0.04,0.04,0.05,2
5837,0.03,0.36,0.03,0.06,0.03,2
5838,0.03,0.34,0.03,0.04,0.13,2
5839,0.02,0.55,0.02,0.02,0.13,2
5840,0.02,0.63,0.01,0.02,0.02,2
5841,0.04,0.13,0.06,0.05,0.05,2
5842,0.02,0.59,0.07,0.02,0.02,2
5843,0.04,0.16,0.04,0.04,0.09,2
